Data as of,Start week,End Week,HHS Region,State,Place of Death,Age group,All Deaths involving COVID-19 (U07.1),Deaths from All Causes,"Deaths involving Pneumonia, with or without COVID-19, excluding Influenza deaths
(J12.0–J18.9)","Deaths involving COVID-19 and Pneumonia, excluding Influenza (U07.1 and J12.0–J18.9)"
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Nursing home/longterm care facility,15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Nursing home/longterm care facility,45-64 years,,23,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Nursing home/longterm care facility,65-74 years,,64,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Nursing home/longterm care facility,75-84 years,,88,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Nursing home/longterm care facility,85 years and over,,334,23,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Other,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Other,15-44 years,,47,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Other,45-64 years,,84,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Other,65-74 years,,79,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Other,75-84 years,,94,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Other,85 years and over,,322,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Place of death unknown,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Place of death unknown,15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Place of death unknown,45-64 years,,12,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Place of death unknown,65-74 years,,13,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Place of death unknown,75-84 years,,13,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Place of death unknown,85 years and over,,26,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Decedent's home,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Decedent's home,15-44 years,,59,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Decedent's home,45-64 years,,320,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Decedent's home,65-74 years,,381,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Decedent's home,75-84 years,,457,,
07/23/2020,02/01/2020,07/18/2020,9,Hawaii,Decedent's home,85 years and over,,730,26,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Hospice facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Hospice facility,15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Hospice facility,45-64 years,,32,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Hospice facility,65-74 years,,54,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Hospice facility,75-84 years,,67,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Hospice facility,85 years and over,,105,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,"Healthcare setting, dead on arrival",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,"Healthcare setting, dead on arrival",15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,"Healthcare setting, dead on arrival",45-64 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,"Healthcare setting, dead on arrival",65-74 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,"Healthcare setting, dead on arrival",75-84 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,"Healthcare setting, dead on arrival",85 years and over,,,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,"Healthcare setting, inpatient",0-14 years,,41,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,"Healthcare setting, inpatient",15-44 years,,76,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,"Healthcare setting, inpatient",45-64 years,,263,32,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,"Healthcare setting, inpatient",65-74 years,18,317,45,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,"Healthcare setting, inpatient",75-84 years,17,355,48,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,"Healthcare setting, inpatient",85 years and over,12,250,35,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,"Healthcare setting, outpatient or emergency room",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,"Healthcare setting, outpatient or emergency room",15-44 years,,33,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,"Healthcare setting, outpatient or emergency room",45-64 years,,58,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,"Healthcare setting, outpatient or emergency room",65-74 years,,55,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,"Healthcare setting, outpatient or emergency room",75-84 years,,40,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,"Healthcare setting, outpatient or emergency room",85 years and over,,27,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Nursing home/longterm care facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Nursing home/longterm care facility,15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Nursing home/longterm care facility,45-64 years,,71,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Nursing home/longterm care facility,65-74 years,,164,12,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Nursing home/longterm care facility,75-84 years,17,413,21,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Nursing home/longterm care facility,85 years and over,30,824,31,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Other,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Other,15-44 years,,81,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Other,45-64 years,,89,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Other,65-74 years,,39,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Other,75-84 years,,54,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Other,85 years and over,,44,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Place of death unknown,0-14 years,,14,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Place of death unknown,15-44 years,,43,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Place of death unknown,45-64 years,,103,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Place of death unknown,65-74 years,,129,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Place of death unknown,75-84 years,,170,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Place of death unknown,85 years and over,,205,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Decedent's home,0-14 years,,20,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Decedent's home,15-44 years,,159,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Decedent's home,45-64 years,,514,15,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Decedent's home,65-74 years,,604,,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Decedent's home,75-84 years,,700,11,
07/23/2020,02/01/2020,07/18/2020,10,Idaho,Decedent's home,85 years and over,,626,17,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Hospice facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Hospice facility,15-44 years,,38,,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Hospice facility,45-64 years,14,400,20,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Hospice facility,65-74 years,21,496,36,14
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Hospice facility,75-84 years,49,621,55,25
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Hospice facility,85 years and over,82,745,93,39
07/23/2020,02/01/2020,07/18/2020,5,Illinois,"Healthcare setting, dead on arrival",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,"Healthcare setting, dead on arrival",15-44 years,,42,,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,"Healthcare setting, dead on arrival",45-64 years,,42,,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,"Healthcare setting, dead on arrival",65-74 years,,24,,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,"Healthcare setting, dead on arrival",75-84 years,,10,,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,"Healthcare setting, dead on arrival",85 years and over,,13,,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,"Healthcare setting, inpatient",0-14 years,,275,,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,"Healthcare setting, inpatient",15-44 years,171,857,151,87
07/23/2020,02/01/2020,07/18/2020,5,Illinois,"Healthcare setting, inpatient",45-64 years,1011,3825,976,594
07/23/2020,02/01/2020,07/18/2020,5,Illinois,"Healthcare setting, inpatient",65-74 years,1167,4280,1181,696
07/23/2020,02/01/2020,07/18/2020,5,Illinois,"Healthcare setting, inpatient",75-84 years,1223,4585,1348,734
07/23/2020,02/01/2020,07/18/2020,5,Illinois,"Healthcare setting, inpatient",85 years and over,1152,4147,1270,680
07/23/2020,02/01/2020,07/18/2020,5,Illinois,"Healthcare setting, outpatient or emergency room",0-14 years,,94,,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,"Healthcare setting, outpatient or emergency room",15-44 years,25,736,11,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,"Healthcare setting, outpatient or emergency room",45-64 years,90,1145,54,28
07/23/2020,02/01/2020,07/18/2020,5,Illinois,"Healthcare setting, outpatient or emergency room",65-74 years,58,860,46,23
07/23/2020,02/01/2020,07/18/2020,5,Illinois,"Healthcare setting, outpatient or emergency room",75-84 years,56,723,54,18
07/23/2020,02/01/2020,07/18/2020,5,Illinois,"Healthcare setting, outpatient or emergency room",85 years and over,45,615,51,16
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Nursing home/longterm care facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Nursing home/longterm care facility,15-44 years,,33,,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Nursing home/longterm care facility,45-64 years,48,769,34,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Nursing home/longterm care facility,65-74 years,142,1414,85,38
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Nursing home/longterm care facility,75-84 years,279,2824,174,69
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Nursing home/longterm care facility,85 years and over,654,6300,438,158
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Other,0-14 years,,10,,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Other,15-44 years,,725,,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Other,45-64 years,,621,,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Other,65-74 years,14,366,11,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Other,75-84 years,34,612,22,11
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Other,85 years and over,77,1510,65,19
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Place of death unknown,0-14 years,,12,,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Place of death unknown,15-44 years,,46,,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Place of death unknown,45-64 years,,172,,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Place of death unknown,65-74 years,,158,13,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Place of death unknown,75-84 years,,196,12,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Place of death unknown,85 years and over,,308,15,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Decedent's home,0-14 years,,52,,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Decedent's home,15-44 years,30,1129,13,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Decedent's home,45-64 years,84,4109,64,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Decedent's home,65-74 years,50,3979,68,
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Decedent's home,75-84 years,43,4412,99,13
07/23/2020,02/01/2020,07/18/2020,5,Illinois,Decedent's home,85 years and over,60,5241,151,12
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Hospice facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Hospice facility,15-44 years,,20,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Hospice facility,45-64 years,,197,11,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Hospice facility,65-74 years,,296,20,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Hospice facility,75-84 years,,383,33,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Hospice facility,85 years and over,,361,29,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,"Healthcare setting, dead on arrival",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,"Healthcare setting, dead on arrival",15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,"Healthcare setting, dead on arrival",45-64 years,,,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,"Healthcare setting, dead on arrival",65-74 years,,,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,"Healthcare setting, dead on arrival",75-84 years,,,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,"Healthcare setting, dead on arrival",85 years and over,,,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,"Healthcare setting, inpatient",0-14 years,,157,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,"Healthcare setting, inpatient",15-44 years,29,427,59,19
07/23/2020,02/01/2020,07/18/2020,5,Indiana,"Healthcare setting, inpatient",45-64 years,252,2027,398,150
07/23/2020,02/01/2020,07/18/2020,5,Indiana,"Healthcare setting, inpatient",65-74 years,391,2229,566,245
07/23/2020,02/01/2020,07/18/2020,5,Indiana,"Healthcare setting, inpatient",75-84 years,428,2266,638,256
07/23/2020,02/01/2020,07/18/2020,5,Indiana,"Healthcare setting, inpatient",85 years and over,308,1653,424,179
07/23/2020,02/01/2020,07/18/2020,5,Indiana,"Healthcare setting, outpatient or emergency room",0-14 years,,34,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,"Healthcare setting, outpatient or emergency room",15-44 years,,173,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,"Healthcare setting, outpatient or emergency room",45-64 years,11,340,18,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,"Healthcare setting, outpatient or emergency room",65-74 years,12,248,13,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,"Healthcare setting, outpatient or emergency room",75-84 years,12,228,14,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,"Healthcare setting, outpatient or emergency room",85 years and over,10,148,10,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Nursing home/longterm care facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Nursing home/longterm care facility,15-44 years,,21,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Nursing home/longterm care facility,45-64 years,35,480,28,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Nursing home/longterm care facility,65-74 years,136,1041,63,15
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Nursing home/longterm care facility,75-84 years,297,2148,147,54
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Nursing home/longterm care facility,85 years and over,611,4439,332,134
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Other,0-14 years,,11,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Other,15-44 years,,413,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Other,45-64 years,,321,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Other,65-74 years,,167,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Other,75-84 years,,168,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Other,85 years and over,,222,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Place of death unknown,0-14 years,,25,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Place of death unknown,15-44 years,,183,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Place of death unknown,45-64 years,12,634,42,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Place of death unknown,65-74 years,20,686,35,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Place of death unknown,75-84 years,18,767,46,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Place of death unknown,85 years and over,23,937,55,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Decedent's home,0-14 years,,51,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Decedent's home,15-44 years,,652,,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Decedent's home,45-64 years,28,2357,47,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Decedent's home,65-74 years,14,2242,57,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Decedent's home,75-84 years,24,2382,71,
07/23/2020,02/01/2020,07/18/2020,5,Indiana,Decedent's home,85 years and over,17,2277,66,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Hospice facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Hospice facility,15-44 years,,18,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Hospice facility,45-64 years,,185,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Hospice facility,65-74 years,,313,27,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Hospice facility,75-84 years,,340,26,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Hospice facility,85 years and over,13,462,37,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,"Healthcare setting, dead on arrival",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,"Healthcare setting, dead on arrival",15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,"Healthcare setting, dead on arrival",45-64 years,,,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,"Healthcare setting, dead on arrival",65-74 years,,,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,"Healthcare setting, dead on arrival",75-84 years,,,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,"Healthcare setting, dead on arrival",85 years and over,,,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,"Healthcare setting, inpatient",0-14 years,,55,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,"Healthcare setting, inpatient",15-44 years,20,156,16,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,"Healthcare setting, inpatient",45-64 years,102,717,125,58
07/23/2020,02/01/2020,07/18/2020,7,Iowa,"Healthcare setting, inpatient",65-74 years,113,822,148,46
07/23/2020,02/01/2020,07/18/2020,7,Iowa,"Healthcare setting, inpatient",75-84 years,87,824,155,42
07/23/2020,02/01/2020,07/18/2020,7,Iowa,"Healthcare setting, inpatient",85 years and over,72,818,160,40
07/23/2020,02/01/2020,07/18/2020,7,Iowa,"Healthcare setting, outpatient or emergency room",0-14 years,,18,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,"Healthcare setting, outpatient or emergency room",15-44 years,,86,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,"Healthcare setting, outpatient or emergency room",45-64 years,,193,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,"Healthcare setting, outpatient or emergency room",65-74 years,,140,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,"Healthcare setting, outpatient or emergency room",75-84 years,,139,10,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,"Healthcare setting, outpatient or emergency room",85 years and over,,75,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Nursing home/longterm care facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Nursing home/longterm care facility,15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Nursing home/longterm care facility,45-64 years,16,166,12,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Nursing home/longterm care facility,65-74 years,48,481,16,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Nursing home/longterm care facility,75-84 years,79,1085,43,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Nursing home/longterm care facility,85 years and over,180,2824,126,12
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Other,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Other,15-44 years,,114,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Other,45-64 years,,110,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Other,65-74 years,,47,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Other,75-84 years,,45,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Other,85 years and over,,49,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Place of death unknown,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Place of death unknown,15-44 years,,11,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Place of death unknown,45-64 years,,54,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Place of death unknown,65-74 years,,62,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Place of death unknown,75-84 years,,63,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Place of death unknown,85 years and over,,108,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Decedent's home,0-14 years,,15,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Decedent's home,15-44 years,,211,,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Decedent's home,45-64 years,,918,12,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Decedent's home,65-74 years,,923,19,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Decedent's home,75-84 years,,995,29,
07/23/2020,02/01/2020,07/18/2020,7,Iowa,Decedent's home,85 years and over,,957,31,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Hospice facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Hospice facility,15-44 years,,10,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Hospice facility,45-64 years,,99,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Hospice facility,65-74 years,,166,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Hospice facility,75-84 years,,188,13,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Hospice facility,85 years and over,,207,25,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,"Healthcare setting, dead on arrival",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,"Healthcare setting, dead on arrival",15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,"Healthcare setting, dead on arrival",45-64 years,,,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,"Healthcare setting, dead on arrival",65-74 years,,,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,"Healthcare setting, dead on arrival",75-84 years,,,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,"Healthcare setting, dead on arrival",85 years and over,,,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,"Healthcare setting, inpatient",0-14 years,,64,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,"Healthcare setting, inpatient",15-44 years,,163,10,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,"Healthcare setting, inpatient",45-64 years,49,646,84,22
07/23/2020,02/01/2020,07/18/2020,7,Kansas,"Healthcare setting, inpatient",65-74 years,39,679,127,21
07/23/2020,02/01/2020,07/18/2020,7,Kansas,"Healthcare setting, inpatient",75-84 years,39,740,129,23
07/23/2020,02/01/2020,07/18/2020,7,Kansas,"Healthcare setting, inpatient",85 years and over,52,651,150,37
07/23/2020,02/01/2020,07/18/2020,7,Kansas,"Healthcare setting, outpatient or emergency room",0-14 years,,13,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,"Healthcare setting, outpatient or emergency room",15-44 years,,83,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,"Healthcare setting, outpatient or emergency room",45-64 years,,139,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,"Healthcare setting, outpatient or emergency room",65-74 years,,95,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,"Healthcare setting, outpatient or emergency room",75-84 years,,95,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,"Healthcare setting, outpatient or emergency room",85 years and over,,65,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Nursing home/longterm care facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Nursing home/longterm care facility,15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Nursing home/longterm care facility,45-64 years,,161,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Nursing home/longterm care facility,65-74 years,,330,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Nursing home/longterm care facility,75-84 years,23,770,34,13
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Nursing home/longterm care facility,85 years and over,50,1929,92,16
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Other,0-14 years,,11,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Other,15-44 years,,172,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Other,45-64 years,,172,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Other,65-74 years,,90,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Other,75-84 years,,73,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Other,85 years and over,,137,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Place of death unknown,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Place of death unknown,15-44 years,,45,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Place of death unknown,45-64 years,,152,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Place of death unknown,65-74 years,,175,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Place of death unknown,75-84 years,,197,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Place of death unknown,85 years and over,,345,13,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Decedent's home,0-14 years,,23,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Decedent's home,15-44 years,,261,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Decedent's home,45-64 years,,898,13,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Decedent's home,65-74 years,,917,27,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Decedent's home,75-84 years,,889,,
07/23/2020,02/01/2020,07/18/2020,7,Kansas,Decedent's home,85 years and over,,904,29,
07/23/2020,02/01/2020,07/18/2020,4,Kentucky,Hospice facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,4,Kentucky,Hospice facility,15-44 years,,44,,
07/23/2020,02/01/2020,07/18/2020,4,Kentucky,Hospice facility,45-64 years,,368,14,
07/23/2020,02/01/2020,07/18/2020,4,Kentucky,Hospice facility,65-74 years,,440,26,
07/23/2020,02/01/2020,07/18/2020,4,Kentucky,Hospice facility,75-84 years,10,479,26,
07/23/2020,02/01/2020,07/18/2020,4,Kentucky,Hospice facility,85 years and over,23,495,34,
07/23/2020,02/01/2020,07/18/2020,4,Kentucky,"Healthcare setting, dead on arrival",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,4,Kentucky,"Healthcare setting, dead on arrival",15-44 years,,12,,
07/23/2020,02/01/2020,07/18/2020,4,Kentucky,"Healthcare setting, dead on arrival",45-64 years,,,,
07/23/2020,02/01/2020,07/18/2020,4,Kentucky,"Healthcare setting, dead on arrival",65-74 years,,,,
07/23/2020,02/01/2020,07/18/2020,4,Kentucky,"Healthcare setting, dead on arrival",75-84 years,,,,
